cited_id,citing_id
1851,190
2610,190
1578,190
2648,195
3053,197
3122,199
3857,199
3668,199
3400,199
3760,199
3504,200
3672,200
3328,201
173,201
3789,201
1660,201
2385,201
1950,202
2981,204
3492,204
3695,204
3771,204
2808,204
2662,204
3927,206
1742,209
3307,209
2150,210
2951,210
3551,212
1875,212
3251,212
3819,212
3259,212
1646,212
925,212
820,212
3420,212
1876,213
1830,213
2996,213
1639,217
1806,225
3076,225
3479,225
3091,225
2418,225
2969,226
2757,227
3791,228
3496,228
1524,228
3678,228
2757,228
3108,228
1772,228
1369,228
3814,231
3832,234
3497,234
1287,235
1869,235
3784,236
3001,236
2932,236
3913,236
3551,236
2752,236
3948,237
3036,237
3704,240
2590,240
3316,240
3439,240
3128,240
2013,240
2709,242
3359,243
1510,243
2148,243
3967,243
2605,243
605,243
3412,243
419,243
3429,246
3775,246
1975,247
1549,247
3210,248
3000,248
2658,251
2378,251
3298,252
2583,252
2408,253
2496,255
645,256
1526,256
3616,257
1656,260
1849,260
3497,262
3832,262
1287,263
2343,263
1585,263
3455,264
2215,264
3307,265
1910,268
1917,268
3353,270
2210,270
3484,270
1853,270
3602,271
2148,272
2329,273
3258,274
2938,274
3512,277
2035,277
1611,277
3036,277
3504,281
2725,281
1431,283
1979,283
2329,283
1656,284
32,284
1991,290
3828,293
2008,293
3485,294
2789,294
3504,294
3225,294
1934,294
3307,294
2411,294
3403,296
3153,296
2078,296
2418,296
1917,296
2034,298
1974,300
2620,300
1725,302
3705,303
2984,303
3497,304
3979,305
2928,308
2913,308
3130,308
2215,308
1991,308
3602,308
1885,308
2770,309
3186,310
2403,310
811,311
3243,311
2215,311
2933,311
3443,311
1996,311
1853,314
2095,316
1625,317
1898,318
3345,318
2501,318
3459,318
3650,318
3560,318
1656,319
1952,319
3246,319
3454,319
708,319
2050,319
2771,319
3929,319
3409,320
3771,321
3928,321
3311,321
3024,321
3223,321
3512,321
3060,323
3782,328
2176,328
3011,328
1925,328
2403,329
3693,332
3209,332
2617,332
3913,332
2078,332
2669,332
2942,332
1535,332
3588,335
171,337
605,337
3760,338
2323,342
1857,344
3307,347
1846,351
2408,351
683,351
1619,361
1876,361
2231,361
2148,363
1925,363
1962,363
3379,363
3345,363
3189,363
3650,363
3696,363
2975,363
3793,364
3799,364
3036,364
3953,364
2165,364
2849,364
2520,364
1663,364
3484,365
4030,365
1887,366
3504,367
1133,369
3320,369
