doc_id,label,year,local_citations,global_citations
989,Asim Saleem M. (2025),2025,0,9
994,Chitteti C. (2025),2025,2,2
995,Amerthen S. (2025),2025,0,0
996,Yin Z. (2025),2025,0,11
997,De Santo M. (2025),2025,0,0
999,Huang H. (2025),2025,0,6
1001,Selvakumaran S. (2025),2025,0,3
1004,Mathumathi M. (2025),2025,0,1
1005,Angin C. (2024),2024,0,1
1007,Wanigarathna N. (2025),2025,0,6
1008,Mu G. (2025),2025,0,12
1011,Pyakurel A. (2024),2024,3,22
1013,Musaoglu N. (2025),2025,0,1
1015,Yu B. (2025),2025,0,2
1016,Schwarz K. (2024),2024,0,4
1017,Pitakaso R. (2025),2025,0,0
1018,Chandu H.S. (2025),2025,0,0
1019,Drogkoula M. (2025),2025,0,0
1021,Talreja P.V. (2025),2025,0,0
1022,Pecheti S.T. (2025),2025,0,1
1024,Dos M.E. (2025),2025,0,1
1025,Elik F. (2025),2025,0,0
1028,Daryal U. (2025),2025,0,3
1032,Mahesh R. (2025),2025,0,0
1038,Karimi E. (2025),2025,0,0
1039,Tika N. (2025),2025,0,3
1043,Veedu J.T. (2024),2024,0,0
1045,Song W. (2025),2025,1,18
1047,Hou Y. (2024),2024,0,6
1049,Sebbio S. (2025),2025,0,0
1050,Ekkazan C. (2025),2025,1,7
1052,Vivek B.K. (2025),2025,0,0
1056,Prasertsoong N. (2025),2025,0,8
1057,Akdagli E. (2025),2025,0,0
1058,Adiwinoto R. (2025),2025,0,0
1061,Woldmariam M.F. (2025),2025,0,0
1062,Florian-Pacheco W. (2025),2025,0,0
1063,Ashikuzzaman M. (2025),2025,1,4
1072,Astarita V. (2025),2025,0,1
1078,Hamid M.A.B. (2025),2025,0,3
1080,Shan S. (2025),2025,0,22
1082,Nagaiah K. (2024),2024,0,11
1085,Hou J. (2025),2025,0,0
1092,Gu T. (2025),2025,2,59
1094,Tedjosaputro M. (2025),2025,0,0
1097,Ahamed S.F. (2025),2025,0,0
1098,Alam G.M.I. (2025),2025,1,10
1100,Polushko V. (2025),2025,0,0
1103,Adesokan A. (2025),2025,0,5
1104,Kumar N. (2025),2025,0,0
1105,Khin E.E. (2025),2025,0,0
1106,Vijay Sai R. (2025),2025,0,0
1108,Sanjana B. (2025),2025,0,1
1110,Kannan S. (2025),2025,0,0
1111,Battina M.R. (2025),2025,0,0
1112,Shiori K. (2025),2025,0,0
1115,Mostofi S. (2025),2025,0,8
1117,Al-Mulla Y. (2025),2025,0,1
1120,Rao W. (2025),2025,1,1
1123,Hammadi D.S. (2025),2025,0,2
1124,Wang Q. (2025),2025,0,4
1125,Jia W. (2025),2025,0,3
1127,Guo W. (2024),2024,0,17
1130,Karunanithy K. (2025),2025,0,1
1133,Garg S. (2024),2024,5,46
1138,Zhang Z. (2025),2025,0,2
1139,Cao G. (2025),2025,0,0
1140,Geng H. (2025),2025,0,1
1144,Thota J.R. (2024),2024,1,9
1146,Martino G. (2025),2025,0,0
1147,David A.O. (2024),2024,0,7
1148,Manzini T. (2025),2025,1,2
1150,Sai D.H. (2025),2025,0,0
1152,Sameed S.M. (2025),2025,0,0
1154,Qadir M.A. (2025),2025,0,6
1155,Ramya D. (2025),2025,0,0
1161,Salman R. (2025),2025,0,0
1162,Loukili Y. (2025),2025,0,6
1164,Shi L. (2025),2025,0,6
1168,Ebrahimi A. (2025),2025,0,0
1169,Kuchinski V. (2025),2025,0,1
1170,Janani B. (2025),2025,0,1
1172,Selvam A.P. (2025),2025,1,39
1176,Li X. (2025),2025,0,0
1177,Djenouri Y. (2025),2025,0,0
1179,Khan D. (2025),2025,2,27
1181,Gupta N. (2025),2025,0,4
1185,Dyken L. (2025),2025,1,2
1186,Fan Z. (2025),2025,0,4
1187,Yao L. (2025),2025,0,1
1189,Kim B. (2025),2025,0,1
1191,Ul Islam M.S. (2025),2025,0,0
1193,Bhattarai Y. (2024),2024,2,11
1197,Chandra N. (2025),2025,0,2
1201,Feng D.-C. (2024),2024,2,25
1209,Chen X. (2025),2025,0,0
1210,Tyagi M. (2024),2024,0,10
1212,Thirugnanasammandamoorthi P. (2025),2025,0,3
1213,Kemmannu P.K. (2025),2025,0,0
1214,Tripathy P. (2025),2025,0,0
1215,Prabhu R. (2025),2025,0,0
1216,Plumridge M. (2025),2025,0,2
1219,Kumar M.S. (2025),2025,0,0
1220,Li J. (2024),2024,0,17
1221,Verma S. (2025),2025,0,2
1222,Ma X. (2025),2025,0,1
1223,Arab M. (2025),2025,0,0
1224,Chen W. (2024),2024,0,5
1226,Kopiika N. (2025),2025,0,0
1227,Alla L.R. (2025),2025,0,2
1234,Zhao C. (2025),2025,0,0
1235,Dubey P. (2025),2025,0,0
1237,Tsubouchi K. (2025),2025,0,0
1240,Fu X. (2025),2025,0,0
1242,Ravi Kumar M. (2025),2025,0,0
1250,Thuan T.Q. (2025),2025,0,0
1252,Kizilay F. (2024),2024,1,16
1253,Jiang J. (2024),2024,1,4
1254,Basu A. (2025),2025,0,0
1257,Abdalzaher M.S. (2025),2025,2,3
1259,He Y. (2024),2024,1,2
1262,Singh D. (2025),2025,0,0
1266,Bania A. (2025),2025,0,0
1267,Wang C.-H. (2025),2025,0,0
1272,Stefanowska E. (2025),2025,0,0
1283,Guo J. (2025),2025,0,3
1285,Barrile V. (2024),2024,0,2
1286,Adhikari S. (2025),2025,1,1
1287,Lin H. (2024),2024,3,11
1289,Acanga A. (2025),2025,0,0
1291,Singh D.K. (2025),2025,0,3
1292,Banerjee S. (2025),2025,0,0
1294,Wang P. (2025),2025,0,4
1295,Majumdar S. (2025),2025,0,2
1302,DOAN T.N. (2025),2025,0,1
1308,Kaur A. (2025),2025,0,0
1310,Xu C. (2025),2025,0,1
1311,Yang Y. (2025),2025,0,0
1312,Zhang Y. (2025),2025,0,0
1319,Nimbarte N. (2025),2025,0,0
1320,Mishra P. (2025),2025,0,2
1322,Sakthi U. (2025),2025,0,0
1324,Biswas D. (2025),2025,0,0
1325,Chang Y.-C. (2025),2025,0,1
1327,Winarsih N.A.S. (2025),2025,0,1
1330,Jain R. (2025),2025,0,2
1332,Fatima N. (2025),2025,0,0
1335,Shirwaikar R. (2025),2025,0,0
1337,Zhang C. (2025),2025,0,0
1340,Zuo P. (2025),2025,0,4
1341,Sodhi N.S. (2025),2025,0,0
1343,Dang T.Q. (2025),2025,0,8
1346,Wibowo A. (2025),2025,0,10
1347,Khan Z. (2025),2025,1,5
1352,Calle Muller C. (2024),2024,0,16
1353,Kumar D. (2025),2025,0,0
1354,Ma W. (2025),2025,1,9
1355,Murthy D. (2025),2025,1,3
1357,He Y. (2024),2024,0,1
1361,Audytra H. (2025),2025,0,0
1367,Pedro J.F. (2025),2025,0,0
1368,Gao S. (2025),2025,1,13
1369,Notarangelo N. (2025),2025,2,12
1372,Wu Z. (2025),2025,0,1
1377,Arya R. (2025),2025,0,0
1379,Thanyawet N. (2025),2025,0,0
1380,Tang K. (2025),2025,0,0
1384,Dhanya S. (2025),2025,0,0
1387,Dhiman H. (2025),2025,0,0
1388,Lin R. (2025),2025,0,0
1394,Nayanathara R.P.T. (2025),2025,0,0
1397,Mishra R. (2025),2025,0,0
1399,Sirisha U. (2025),2025,0,5
1401,Zhang Y. (2024),2024,0,1
1402,Mondal G. (2025),2025,0,2
1404,Ajay A. (2025),2025,0,0
1405,Simm G. (2025),2025,0,0
1406,Doan T.-N. (2025),2025,1,12
1407,Song M. (2025),2025,0,1
1408,Ahmed V. (2025),2025,0,0
1410,Thazhath Veedu J. (2025),2025,0,0
1412,Guclu E. (2025),2025,0,1
1414,Rai P. (2025),2025,0,0
1419,Yang H. (2025),2025,0,6
1422,Amiran A. (2024),2024,0,7
1425,Sathianarayanan M. (2025),2025,0,0
1427,Vimala J. (2025),2025,0,1
