ref_a,ref_b,weight
chen|encoddecodwithatrou|2018,gupta|creatxbddatasfor|2019,6
goodfellow|deeplearn|2016,krizhevsky|imageclasswithdeep|2012,6
krizhevsky|imageclasswithdeep|2012,redmon|youonlylookonce|2016,6
kingma|adammethoforstoch|2014,krizhevsky|imageclasswithdeep|2017,6
nguyen|damagassesfromsocia|2017,tan|efficrethimodelscali|2019,6
dong|comprrevieearthinduc|2013,gupta|creatxbddatasfor|2019,6
froude|globafatallandsoccur|2018,huang|revielandssuscemappi|2018,6
ghorbanzadeh|evaludiffemachilearn|2019,krizhevsky|imageclasswithdeep|2017,6
ji|landsdetecfromopen|2020,vaswani|attenallyouneed|2017,6
redmon|youonlylookonce|2016,simonyan|verydeepconvonetwo|2014,6
breiman|baggipredi|1996,friedman|greedfunctapprogradi|2001,6
goodfellow|deeplearn|2016,kingma|adammethoforstoch|2014,6
goodfellow|deeplearn|2016,ronneberger|netconvonetwofor|2015,6
friedman|greedfunctapprogradi|2001,pedregosa|scikilearnmachilearn|2011,6
(2018)||2018,he|deepresidlearnfor|2016,6
(2019)||2019,he|deepresidlearnfor|2016,6
liu|swintranshieravisio|2021,rahnemoonfar|floodhighresolaeria|2021,6
(2018)||2018,breiman|randofores|2001,6
badrinarayanan|segnedeepconvoencod|2017,vaswani|attenallyouneed|2017,6
gupta|xbddatasforasses|2019,zhao|pyramsceneparsinetwo|2017,6
cortes|suppovectonetwo|1995,pedregosa|scikilearnmachilearn|2011,6
breiman|randofores|2001,mohan|revieremotsensimetho|2021,6
hochreiter|longshorttermmemor|1997,mosavi|floodprediusingmachi|2018,6
gupta|xbddatasforasses|2019,kingma|adammethoforstoch|2014,6
(2018)||2018,krizhevsky|imageclasswithdeep|2012,5
hochreiter|longshorttermmemor|1997,krizhevsky|imageclasswithdeep|2017,5
(2019)||2019,(2023)||2023,5
gupta|creatxbddatasfor|2019,krizhevsky|imageclasswithdeep|2012,5
(2020)||2020,dong|comprrevieearthinduc|2013,5
lecun|deeplearn|2015,yu|bigdatanaturdisas|2018,5
he|deepresidlearnfor|2016,yu|bigdatanaturdisas|2018,5
kingma|adammethoforstoch|2014,simonyan|verydeepconvonetwo|2014,5
chen|xgbooscalatreeboost|2016,mosavi|floodprediusingmachi|2018,5
ji|landsdetecfromopen|2020,krizhevsky|imageclasswithdeep|2017,5
(2018)||2018,lecun|deeplearn|2015,5
lecun|deeplearn|2015,sun|appliartifintelfor|2020,5
linardos|machilearndisasmanag|2022,nguyen|damagassesfromsocia|2017,5
mosavi|floodprediusingmachi|2018,sun|appliartifintelfor|2020,5
redmon|youonlylookonce|2016,woo|cbamconvoblockatten|2018,5
gupta|xbddatasforasses|2019,krizhevsky|imageclasswithdeep|2017,5
redmon|youonlylookonce|2016,ronneberger|netconvonetwofor|2015,5
simonyan|verydeepconvonetwo|2014,vaswani|attenallyouneed|2017,5
simonyan|verydeepconvonetwo|2014,zhao|pyramsceneparsinetwo|2017,5
(2020)||2020,lecun|deeplearn|2015,5
ji|landsdetecfromopen|2020,redmon|youonlylookonce|2016,5
mohan|revieremotsensimetho|2021,redmon|youonlylookonce|2016,5
kingma|adammethoforstoch|2014,long|fullyconvonetwofor|2015,5
liu|swintranshieravisio|2021,long|fullyconvonetwofor|2015,5
liu|swintranshieravisio|2021,zhao|pyramsceneparsinetwo|2017,5
gupta|creatxbddatasfor|2019,zhao|pyramsceneparsinetwo|2017,5
imran|aidrartifintelfor|2014,tan|efficrethimodelscali|2019,5
krizhevsky|imageclasswithdeep|2012,vaswani|attenallyouneed|2017,5
ghorbanzadeh|evaludiffemachilearn|2019,zhao|pyramsceneparsinetwo|2017,5
breiman|randofores|2001,cooner|detecurbandamagusing|2016,5
merghadi|machilearnmethofor|2020,mohan|revieremotsensimetho|2021,5
lecun|deeplearn|2015,pedregosa|scikilearnmachilearn|2011,5
long|fullyconvonetwofor|2015,redmon|youonlylookonce|2016,5
gupta|xbddatasforasses|2019,long|fullyconvonetwofor|2015,5
friedman|greedfunctapprogradi|2001,hochreiter|longshorttermmemor|1997,5
gupta|xbddatasforasses|2019,woo|cbamconvoblockatten|2018,5
chen|encoddecodwithatrou|2018,woo|cbamconvoblockatten|2018,5
mohan|revieremotsensimetho|2021,vaswani|attenallyouneed|2017,5
froude|globafatallandsoccur|2018,ji|landsdetecfromopen|2020,5
friedman|greedfunctapprogradi|2001,merghadi|machilearnmethofor|2020,5
ghorbanzadeh|evaludiffemachilearn|2019,lecun|deeplearn|2015,5
breiman|randofores|2001,vaswani|attenallyouneed|2017,5
